#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
guardian_of_faith_christian;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
EVTOPTFOLDORDER.0028;Let's hold a blot to satisfy the Gods !;Tenons un blôt pour satisfaire les Dieux !;Let's hold a blot to satisfy the Gods !;;Let's hold a blot to satisfy the Gods !;;;;;;;;;x
EVTOPTGOLDORDER.0028;Let's worship the Ancestors !;Rendons un culte aux Ancêtres !;Let's worship the Ancestors !;;Let's worship the Ancestors !;;;;;;;;;x
EVTOPTEOLDORDER.0028;I must redeem myself …;Je dois me racheter…;I must redeem myself …;;I must redeem myself …;;;;;;;;;x
EVTTITLEOLDORDER.0031;You have redeemed your faults!;Vous avez racheté vos fautes !;You have redeemed your faults!;;You have redeemed your faults!;;;;;;;;;x
EVTDESCOLDORDER.0031;You have succeeded in proving your worth and your piety. You are back among the legends of the Guardians of the Faith!;Vous êtes parvenus à prouver votre valeur et votre piété. Vous êtes de retour parmi les légendes des Gardiens de la Foi !;You have succeeded in proving your worth and your piety. You are back among the legends of the Guardians of the Faith!;;You have succeeded in proving your worth and your piety. You are back among the legends of the Guardians of the Faith!;;;;;;;;;x
EVTOPTAOLDORDER.0031;I'm a real Guardian of the Faith !;Je suis un vrai Gardien de la Foi !;I'm a real Guardian of the Faith !;;I'm a real Guardian of the Faith !;;;;;;;;;x
EVTTITLEOLDORDER.0033;The decline of your Order;Le déclin de votre Ordre;The decline of your Order;;The decline of your Order;;;;;;;;;x
EVTDESCOLDORDER.0033;Your piety is too weak to keep your Order in place! You must prove your faith in the next five years, if you want to save it!;Votre piété est trop faible pour maintenir votre Ordre en place ! Vous devez prouver votre Foi dans les cinq années à venir, si vous souhaitez le sauver !;Your piety is too weak to keep your Order in place! You must prove your faith in the next five years, if you want to save it!;;Your piety is too weak to keep your Order in place! You must prove your faith in the next five years, if you want to save it!;;;;;;;;;x
EVTOPTAOLDORDER.0033;I won't fail !;Je n'échouerai pas !;I won't fail !;;I won't fail !;;;;;;;;;x
EVTTITLEOLDORDER.0035;The End of the Order;La Fin de l'Ordre;The End of the Order;;The End of the Order;;;;;;;;;x
EVTDESCOLDORDER.0035;You have failed to restore the integrity of your Order. His exploits will continue through songs, but it belongs to the past now …;Vous n'êtes pas parvenus à rétablir l'intégrité de votre Ordre. Ses exploits perdureront à travers des chansons, mais il appartient au passé désormais... ;You have failed to restore the integrity of your Order. His exploits will continue through songs, but it belongs to the past now ...;;You have failed to restore the integrity of your Order. His exploits will continue through songs, but it belongs to the past now ...;;;;;;;;;x
EVTOPTAOLDORDER.0035;It's the end of an adventure.;C'est la fin d'une aventure.;It's the end of an adventure.;;It's the end of an adventure.;;;;;;;;;x
EVTTITLEOLDORDER.0039;The Decline of an Order;Le déclin d'un Ordre;The Decline of an Order;;The Decline of an Order;;;;;;;;;x
EVTDESCOLDORDER.0039;Your prestigious vassal, [From.GetPrimaryTitles], see his Order suffering from a huge internal crisis ! His can lead to the end to this brotherhood, and that would be a great loss for the Faith !   ;Votre prestigieux vassal, [Root.GetPrimaryTitles], voit son Ordre subir une impressionnante crise interne ! Cela pourrait conduire à la fin de cette confrérie, ce qui conduirait à une grande perte pour la vraie foi. ;Your prestigious vassal, [Root.GetPrimaryTitles], see his Order suffering from a huge internal crisis ! His can lead to the end to this brotherhood, and that would be a great loss for the Faith !   ;;Your prestigious vassal, [Root.GetPrimaryTitles], see his Order suffering from a huge internal crisis ! His can lead to the end to this brotherhood, and that would be a great loss for the Faith !   ;;;;;;;;;x
EVTOPTAOLDORDER.0039;Pray for them !;Priez pour eux !;Pray for them !;;Pray for them !;;;;;;;;;x
EVTTITLEOLDORDER.0040;A New Holy Order has been founded;Un nouvel Ordre religieux a été fondé ;A New Holy Order has been founded;;A New Holy Order has been founded;;;;;;;;;x
EVTDESCOLDORDER.0040;A pious hero, [From.GetDynName], has gathered over time other believers of faith [From.Religion.GetName]. They have vowed to serve [From.Religion.GetRandomGodName] and give their lives if needed. They will be the guardians of their religion, and will be the emissaries wherever they go. This new religious order will be a valuable ally ... or a formidable enemy.;Un pieux héros, [From.GetDynName], a rassemblé au fil du temps d'autres croyants de la foi [From.Religion.GetName]. Ils ont juré de servir [From.Religion.GetRandomGodName] et de donner leur vie si nécessaire. Ils seront les gardiens de leur religion, et en seront les émissaires partout où ils iront. Ce nouvel ordre religieux pourra être un allié précieux...  ou un ennemi redoutable. ;A pious hero, [From.GetDynName], has gathered over time other believers of faith [From.Religion.GetName]. They have vowed to serve [From.Religion.GetRandomGodName] and give their lives if needed. They will be the guardians of their religion, and will be the emissaries wherever they go. This new religious order will be a valuable ally ... or a formidable enemy.;;A pious hero, [From.GetDynName], has gathered over time other believers of faith [From.Religion.GetName]. They have vowed to serve [From.Religion.GetRandomGodName] and give their lives if needed. They will be the guardians of their religion, and will be the emissaries wherever they go. This new religious order will be a valuable ally ... or a formidable enemy.;;;;;;;;;x
EVTOPTAOLDORDER.0040;We will have to keep that in mind …;Nous allons devoir garder cela en tête…;We will have to keep that in mind ...;;We will have to keep that in mind ...;;;;;;;;;x
EVTTITLEOLDORDER.0041;A Religious Order has ceased to exist;Un Ordre religieux a cessé d'exister;A Religious Order has ceased to exist;;A Religious Order has ceased to exist;;;;;;;;;x
EVTDESCOLDORDER.0041;[From.GetDynName] was not able to maintain the cohesion of the [From.PrimaryTitle.GetFullName]. After years of good service and wars in the name of their beliefs, these warriors, fanatics for some, blessed for others, lost their aura. Religion [From.Religion.GetName] loses some of its most valuable representatives, scattered to the four corners of the known world. Maybe we will see these men again in the future, but nothing is less certain ...;[From.GetDynName] n'a pas pu conserver la cohésion parmi le/la [From.PrimaryTitle.GetFullName]. Ces guerriers, fanatiques pour certains, bénis pour d'autres, ont perdu leur aura. la religion [From.Religion.GetName] perd certains de ses représentants les plus précieux, dispersés aux quatre coins du monde connu. Peut-être reverrons-nous ces hommes dans le futur, mais rien n’est moins sûr…;[From.GetDynName] was not able to maintain the cohesion of the [From.PrimaryTitle.GetFullName]. After years of good service and wars in the name of their beliefs, these warriors, fanatics for some, blessed for others, lost their aura. Religion [From.Religion.GetName] loses some of its most valuable representatives, scattered to the four corners of the known world. Maybe we will see these men again in the future, but nothing is less certain ...;;[From.GetDynName] was not able to maintain the cohesion of the [From.PrimaryTitle.GetFullName]. After years of good service and wars in the name of their beliefs, these warriors, fanatics for some, blessed for others, lost their aura. Religion [From.Religion.GetName] loses some of its most valuable representatives, scattered to the four corners of the known world. Maybe we will see these men again in the future, but nothing is less certain ...;;;;;;;;;x
EVTOPTAOLDORDER.0041;A page of History is turning.;Une page de l'histoire se tourne.;A page of History is turning.;;A page of History is turning.;;;;;;;;;x
deserter;Deserter;Déserteur;Deserter;;Deserter;;;;;;;;;x
deserter_desc;This character fled his service in the Roman legions, and carries the shame of his dynasty on his shoulders.;Ce personnage a fui son service dans les légions romaines, et porte la honte de sa dynastie sur les épaules. ;This character fled his service in the Roman legions, and carries the shame of his dynasty on his shoulders.;;This character fled his service in the Roman legions, and carries the shame of his dynasty on his shoulders.;;;;;;;;;x
order_to_join_legion;Send to a Legion;Envoyer dans une Légion;Send to a Legion;;Send to a Legion;;;;;;;;;x
order_to_join_legion_desc;This character can be sent to a Legion, fight on behalf of the Imperator and honor his family.;Cet individu peut être envoyé dans une légion, combattre au nom de l'Imperator et faire honneur à sa famille.;This character can be sent to a Legion, fight on behalf of the Imperator and honor his family.;;This character can be sent to a Legion, fight on behalf of the Imperator and honor his family.;;;;;;;;;x
order_to_join_minor_holy_order;Send to a Minor Holy Order;Envoyer dans un Ordre sacré mineur ;Send to a Minor Holy Order;;Send to a Minor Holy Order;;;;;;;;;x
order_to_join_minor_holy_order_desc;This character can be sent to a Minor Holy Order, fight for the true faith and honor his family.;Cet individu peut être envoyé dans un ordre religieux mineur, combattre au nom de la vraie foi et faire honneur à sa famille.;This character can be sent to a Minor Holy Order, fight for the true faith and honor his family.;;This character can be sent to a Minor Holy Order, fight for the true faith and honor his family.;;;;;;;;;x
form_knights_of_calatrava_RNC;Form the [d_knights_calatrava.GetName] and Become a Guardian of Faith;Former le [d_knights_calatrava.GetName] et devenir un Gardien de la Foi;Form the [d_knights_calatrava.GetName] and Become a Guardian of Faith;;Form the [d_knights_calatrava.GetName] and Become a Guardian of Faith;;;;;;;;;x
form_knights_of_calatrava_RNC_desc;Form an Order of pious men to defend Iberia against the infidels in the province of Calatrava.;Former un ordre d'hommes pieux pour défendre la péninsule ibérique contre les infidèles dans la province de Calatrava.;Form an Order of pious men to defend Iberia against the infidels in the province of Calatrava.;;Form an Order of pious men to defend Iberia against the infidels in the province of Calatrava.;;;;;;;;;x
form_knights_of_santiago_RNC;Form the [d_knights_santiago.GetName] and Become a Guardian of Faith;Former le [d_knights_santiago.GetName] et devenir un Gardien de la Foi;Form the [d_knights_santiago.GetName] and Become a Guardian of Faith;;Form the [d_knights_santiago.GetName] and Become a Guardian of Faith;;;;;;;;;x
form_knights_of_santiago_RNC_desc;Form an Order of pious men to defend Iberia against the infidels in the province of Santiago.;Former un ordre d'hommes pieux pour défendre la péninsule ibérique contre les infidèles dans la province de Saint-Jacques-de-Compostelle.;Form an Order of pious men to defend Iberia against the infidels in the province of Santiago.;;Form an Order of pious men to defend Iberia against the infidels in the province of Santiago.;;;;;;;;;x
form_teutonic_order_RNC;Form the Teutonic Order and Become a Guardian of Faith;Former l'Ordre Teutonique et devenir un Gardien de la Foi;Form the Teutonic Order and Become a Guardian of Faith;;Form the Teutonic Order and Become a Guardian of Faith;;;;;;;;;x
form_teutonic_order_RNC_desc;Form an Order of pious men to defend the routes to [k_jerusalem.GetName].;Former un ordre d'hommes pieux pour défendre les routes vers [k_jerusalem.GetName].;Form an Order of pious men to defend the routes to [k_jerusalem.GetName].;;Form an Order of pious men to defend the routes to [k_jerusalem.GetName].;;;;;;;;;x
form_holy_sepulchre;Militarize the Brotherhood of the Holy Sepulchre and Become a Guardian of Faith;Militariser la Confrérie du Saint-Sépulcre et devenir un Gardien de la Foi;Militarize the Brotherhood of the Holy Sepulchre and Become a Guardian of Faith;;Militarize the Brotherhood of the Holy Sepulchre and Become a Guardian of Faith;;;;;;;;;x
form_holy_sepulchre_desc;Militarize the Brotherhood of the Holy Sepulchre so they can fight back the encroaching invaders of all the other faiths.;Militariser la Confrérie du Saint-Sépulcre afin qu'ils puissent répondre aux envahisseurs des autres religions.;Militarize the Brotherhood of the Holy Sepulchre so they can fight back the encroaching invaders of all the other faiths.;;Militarize the Brotherhood of the Holy Sepulchre so they can fight back the encroaching invaders of all the other faiths.;;;;;;;;;x
minor_holy_order_elective;Religious Brotherhood;Confrérie religieuse;Religious Brotherhood;;Religious Brotherhood;;;;;;;;;x
restore_monothelite_patriarchate_in_Antioch;Install the Monothelian Patriarchate in Antioch;Accueillir le Patriarchat monothélite à Antioche;Install the Monothelian Patriarchate in Antioch;;Install the Monothelian Patriarchate in Antioch;;;;;;;;;x
restore_monothelite_patriarchate_in_Antioch_desc;For a long time now, the Monothelian Patriarch has seen himself estranged from Antioch, threatened by orthodox dogma. However, this situation has gone on long enough, and it is time to restore the Patriarchate to its rightful place.;Depuis bien longtemps, le Patriarche monothélite s'est vu éloigné d'Antioche, menacé par le dogme orthodoxe. Cependant, cette situation a assez duré, et il est temps de rendre au Patriarchat la place qui lui revient.;For a long time now, the Monothelian Patriarch has seen himself estranged from Antioch, threatened by orthodox dogma. However, this situation has gone on long enough, and it is time to restore the Patriarchate to its rightful place.;;For a long time now, the Monothelian Patriarch has seen himself estranged from Antioch, threatened by orthodox dogma. However, this situation has gone on long enough, and it is time to restore the Patriarchate to its rightful place.;;;;;;;;;x
restore_paulician_patriarchate_in_Constantinople;Install the Paulician Patriarchate in Constantinople;Accueillir le Patriarchat paulicien à Constantinople;Install the Paulician Patriarchate in Constantinople;;Install the Paulician Patriarchate in Constantinople;;;;;;;;;x
restore_paulician_patriarchate_in_Constantinople_desc;For a long time now, the Paulician Patriarch has seen himself estranged from Constantinople, threatened by orthodox dogma. However, this situation has gone on long enough, and it is time to restore the Patriarchate to its rightful place.;Depuis bien longtemps, le Patriarche paulicien s'est vu éloigné de Constantinople, menacé par le dogme orthodoxe. Cependant, cette situation a assez duré, et il est temps de rendre au Patriarchat la place qui lui revient.;For a long time now, the Paulician Patriarch has seen himself estranged from Constantinople, threatened by orthodox dogma. However, this situation has gone on long enough, and it is time to restore the Patriarchate to its rightful place.;;For a long time now, the Paulician Patriarch has seen himself estranged from Constantinople, threatened by orthodox dogma. However, this situation has gone on long enough, and it is time to restore the Patriarchate to its rightful place.;;;;;;;;;x
restore_ecumenical_patriarchate_alternative;Restore the Ecumenical Patriarchate;Restaurer le patriarcat oecuménique;Stellt das ökumenische Patriarchat wieder her;;Restaurar el Patriarcado Ecuménico;;;;;;;;;x
restore_ecumenical_patriarchate_alternative_desc;Now that we control Constantinople, we can restore the Orthodox Ecumenical Patriarchate. May it return to its former glory!;Maintenant que nous contrôlons Constantinople, nous pouvons restaurer le Patriarcat oecuménique orthodoxe. Rendons-lui sa gloire d'antan !;Jetzt, da wir Konstantinopel besitzen, können wir das Orthodoxe Ökumenische Patriarchat wiederherstellen. Möge es zu seinem alten Glanz zurückkehren!;;Ahora que controlamos Constantinopla, podemos restaurar el Patriarcado Ecuménico Ortodoxo. ¡Volverá su antigua gloria!;;;;;;;;;x
restore_monophysite_pope_in_Alexandria;Install the Monophysite Pope in Alexandria;Accueillir le Pape monphysite à Alexandrie;Install the Monophysite Pope in Alexandria;;Install the Monophysite Pope in Alexandria;;;;;;;;;x
restore_monophysite_pope_in_Alexandria_desc;In order to escape Byzantine repression and Muslim invasions, your Pope had to take refuge in various monasteries in the desert. It's time to give him back what is rightfully his.;Afin d'échapper à la répression byzantine et aux invasions musulmanes, votre Pape a dû se réfugier dans différents monastères dans le désert. Il est temps de lui rendre ce qui lui revient de droit.;In order to escape Byzantine repression and Muslim invasions, your Pope had to take refuge in various monasteries in the desert. It's time to give him back what is rightfully his.;;In order to escape Byzantine repression and Muslim invasions, your Pope had to take refuge in various monasteries in the desert. It's time to give him back what is rightfully his.;;;;;;;;;x
restore_miaphysite_pope_in_Alexandria;Install the Miaphysite Pope in Alexandria;Accueillir le Pape miaphysite à Alexandrie;Install the Miaphysite Pope in Alexandria;;Install the Miaphysite Pope in Alexandria;;;;;;;;;x
restore_miaphysite_pope_in_Alexandria_desc;In order to escape Byzantine repression and Muslim invasions, your Pope had to take refuge in various monasteries in the desert. It's time to give him back what is rightfully his.;Afin d'échapper à la répression byzantine et aux invasions musulmanes, votre Pape a dû se réfugier dans différents monastères dans le désert. Il est temps de lui rendre ce qui lui revient de droit.;In order to escape Byzantine repression and Muslim invasions, your Pope had to take refuge in various monasteries in the desert. It's time to give him back what is rightfully his.;;In order to escape Byzantine repression and Muslim invasions, your Pope had to take refuge in various monasteries in the desert. It's time to give him back what is rightfully his.;;;;;;;;;x
create_iconoclast_patriarchy_alternative;Create the Iconoclast Patriarchate;Créer le patriarcat iconoclaste;Schafft das Bilderstürmer-Patriarchat;;Crear el Patriarcado Iconoclasta;;;;;;;;;x
create_iconoclast_patriarchy_alternative_desc;If I am pious enough and control Constantinople, I can create an Iconoclast Ecumenical Patriarch to serve as the head of the faith in opposition to the deluded icon worshipping Patriarch.;Si je fais preuve d'assez de piété et que je contrôle Rome, je pourrais nommer un patriarche oecuménique iconoclaste qui sera le chef d'une foi vertueuse, par opposition au patriarche actuel, perdu dans l'idolâtrie des icônes.;Wenn ich fromm genug bin und Konstantinopel beherrsche, kann ich einen Bilderstürmer zum Ökumenischen Patriarchen ernennen, der als Oberhaupt des Glaubens in Opposition zum irregeführten ikonenanbetenden Patriarchen dient.;;Si soy lo suficientemente piadoso y controlo Constantinopla, puedo nombrar un Patriarca Ecuménico Iconoclasta como cabeza de la fe frente al iluso Patriarca venerador de iconos.;;;;;;;;;x
exchange_land_for_hospital_with_minor_holy_orders;Invite the Minor Order to build a hospital;Inviter l'ordre mineur à construire un hôpital;Invite the Minor Order to build a hospital;;Invite the Minor Order to build a hospital;;;;;;;;;x
exchange_land_for_hospital_with_minor_holy_orders_desc;This brotherhood can help us establish a hospital in the area to protect our population from epidemics. In exchange, we will have to give them land so that they can settle there and build this building.;Cette confrérie peut nous aider à établir un hôpital dans la région, afin de protéger notre population des épidémies. En échange, nous devrons leur céder des terres afin qu'il puisse s'y installer et assurer la construction de cet édifice.;This brotherhood can help us establish a hospital in the area to protect our population from epidemics. In exchange, we will have to give them land so that they can settle there and build this building.;;;;;;;;;x
EVTDESCOLDORDER.0042;To [Root.GetTitledName],\nYou have strayed from the path of righteousness. Now, as Grand Master of a religious order as large as yours, this error is unforgivable. I therefore ask you to give up your privileges, for the sake of the Faith.\n\nSincerely,\n[From.GetTitledName];[Root.GetTitledName],\nVous vous êtes éloignés du droit chemin. Or, en tant que Grand Maître d'un ordre religieux aussi conséquent que le vôtre, cette erreur est impardonnable. Je vous demande donc d'abandonner vos privilèges, pour le bien de la Foi.\n\nCordialement,\n[From.GetTitledName];To [Root.GetTitledName],\nYou have strayed from the path of righteousness. Now, as Grand Master of a religious order as large as yours, this error is unforgivable. I therefore ask you to give up your privileges, for the sake of the Faith.\n\nSincerely,\n[From.GetTitledName];;To [Root.GetTitledName],\nYou have strayed from the path of righteousness. Now, as Grand Master of a religious order as large as yours, this error is unforgivable. I therefore ask you to give up your privileges, for the sake of the Faith.\n\nSincerely,\n[From.GetTitledName];;;;;;;;;x
EVTOPTAOLDORDER.0042;So my mission ends here.;Ma mission s'achève donc ici.;So my mission ends here.;;So my mission ends here.;;;;;;;;;x
EVTTITLEOLDORDER.0043;The Grandmaster of a Holy Order is fallen by the Pope;Le Grand-Maître d'un Ordre Saint est déchu par le Pape;The Grandmaster of a Holy Order is fallen by the Pope;;The Grandmaster of a Holy Order is fallen by the Pope;;;;;;;;;x
EVTDESCOLDORDER.0043;[From.GetDynName] was forced by the Pope to abandon his role as Grand Master of his Holy Order because of his past actions against the Faith. He will have to prove his fervour again if he wishes one day to restore his image and deserve his status as Guardian of the Faith.;[From.GetDynName] a été forcé par le Pape d'abandonner son rôle de Grand Maître de de son ordre saint, du fait de ses agissements passés à l'encontre de la Foi. Il devra à nouveau prouver sa ferveur s'il souhaite un jour redorer son image et mériter son statut de Gardien de la Foi.;[From.GetDynName] was forced by the Pope to abandon his role as Grand Master of his Holy Order because of his past actions against the Faith. He will have to prove his fervour again if he wishes one day to restore his image and deserve his status as Guardian of the Faith.;;[From.GetDynName] was forced by the Pope to abandon his role as Grand Master of his Holy Order because of his past actions against the Faith. He will have to prove his fervour again if he wishes one day to restore his image and deserve his status as Guardian of the Faith.;;;;;;;;;x
EVTOPTAOLDORDER.0043;A page of History is turning.;Une page de l'histoire se tourne.;A page of History is turning.;;A page of History is turning.;;;;;;;;;x
EVTTITLEOLDORDER.0045;The Grandmaster of a Brotherhood is fallen by the Caliph;Le Grand-Maître d'une Confrérie est déchu par le Calife;The Grandmaster of a Brotherhood is fallen by the Caliph;;The Grandmaster of a Brotherhood is fallen by the Caliph;;;;;;;;;x
EVTDESCOLDORDER.0045;[From.GetDynName] was forced by the Caliph to abandon his role as Grand Master of his Brotherhood because of his past actions against the Faith. He will have to prove his fervour again if he wishes one day to restore his image and deserve his status as Guardian of the Faith.;[From.GetDynName] a été forcé par le Calife d'abandonner son rôle de Grand Maître de de sa confrérie, du fait de ses agissements passés à l'encontre de la Foi. Il devra à nouveau prouver sa ferveur s'il souhaite un jour redorer son image et mériter son statut de Gardien de la Foi.;[From.GetDynName] was forced by the Caliph to abandon his role as Grand Master of his Brotherhood because of his past actions against the Faith. He will have to prove his fervour again if he wishes one day to restore his image and deserve his status as Guardian of the Faith.;;[From.GetDynName] was forced by the Caliph to abandon his role as Grand Master of his Brotherhood because of his past actions against the Faith. He will have to prove his fervour again if he wishes one day to restore his image and deserve his status as Guardian of the Faith.;;;;;;;;;x
EVTOPTAOLDORDER.0045;A page of History is turning.;Une page de l'histoire se tourne.;A page of History is turning.;;A page of History is turning.;;;;;;;;;x
EVTTITLEOLDORDER.0047;The Warchief of a Sacred Band is fallen by the Great Priest;Le Chef d'une Bande Sacrée est déchu par le Grand Prêtre;The Warchief of a Sacred Band is fallen by the Great Priest;;The Warchief of a Sacred Band is fallen by the Great Priest;;;;;;;;;x
EVTDESCOLDORDER.0047;[From.GetDynName] was forced by the Great Priest to abandon his role as Warchief of his Sacred Band because of his past actions against the Faith. He will have to prove his fervour again if he wishes one day to restore his image and deserve his status as Guardian of the Faith.;[From.GetDynName] a été forcé par le Grand Prêtre d'abandonner son rôle de Chef de Guerre de sa Bande Sacrée, du fait de ses agissements passés à l'encontre de la Foi. Il devra à nouveau prouver sa ferveur s'il souhaite un jour redorer son image et mériter son statut de Gardien de la Foi.;[From.GetDynName] was forced by the Great Priest to abandon his role as Warchief of his Sacred Band because of his past actions against the Faith. He will have to prove his fervour again if he wishes one day to restore his image and deserve his status as Guardian of the Faith.;;[From.GetDynName] was forced by the Great Priest to abandon his role as Warchief of his Sacred Band because of his past actions against the Faith. He will have to prove his fervour again if he wishes one day to restore his image and deserve his status as Guardian of the Faith.;;;;;;;;;x
EVTOPTAOLDORDER.0047;A page of History is turning.;Une page de l'histoire se tourne.;A page of History is turning.;;A page of History is turning.;;;;;;;;;x
force_repudiated_grandmasters_to_abdicate_christian;Dismiss the Grandmaster from his role;Déchoir le Grand-Maître de son rôle;Dismiss the Grandmaster from his role;;Dismiss the Grandmaster from his role;;;;;;;;;x
force_repudiated_grandmasters_to_abdicate_muslim;Dismiss the Grandmaster from his role;Déchoir le Grand-Maître de son rôle;Dismiss the Grandmaster from his role;;Dismiss the Grandmaster from his role;;;;;;;;;x
force_repudiated_grandmasters_to_abdicate_pagan;Dismiss the Warchief from his role;Déchoir le Seigneur de Guerre de son rôle;Dismiss the Warchief from his role;;Dismiss the Warchief from his role;;;;;;;;;x
form_st_anthony_RNC_desc;Call forth warriors to defend the Miaphysite faith.;Appelle les guerriers à défendre la foi miaphysite.;Krieger aufrufen, um den miaphysitischen Glauben zu schützen.;;Convoca guerreros para defender la fe miafisita.;;;;;;;;;x
form_st_anthony_RNC;Form the Order of Saint Anthony and Become a Guardian of Faith;Former l'Ordre de Saint Antoine et devenir un Gardien de la Foi;Orden des Heiligen Antonius gründen;;Forma la Orden de San Antonio;;;;;;;;;x
form_st_addai_RNC_desc;Call forth warriors to defend Nestorian faith.;Appelle les guerriers à défendre la foi nestorienne.;Krieger aufrufen, um den nestorischen Glauben zu schützen.;;Convoca guerreros para defender la fe nestoriana;;;;;;;;;x
form_st_addai_RNC;Form the Order of Saint Addai and Become a Guardian of Faith;Former l'Ordre de saint Addaï et devenir un Gardien de la Foi;Orden des Heiligen Thaddeus;;Forma la Orden de San Addai;;;;;;;;;x
organize_army_light_RNC;Form the Army of Light and Become a Guardian of Faith;Former l'Armée de Lumière et devenir un Gardien de la Foi;Armee des Lichts gründen;;Forma el Ejército de la luz;;;;;;;;;x
organize_army_light_RNC_desc;As the age of Crusades and renewed Jihad looms, it is your duty to call forth warriors to defend the Manichean faith.;À mesure que l'âge des Croisades et du Jihad renouvelé se profile, il est de votre devoir d'appeler les guerriers à défendre la foi manichéenne.;In Zeiten von Kreuzzügen und Dschihads ist es unsere Pflicht, Krieger aufzurufen, um den manichäischen Glauben zu verteidigen.;;Según se avecina la edad de las cruzadas y una jihad renovada, es tu deber convocar guerreros para defender la fe maniquea.;;;;;;;;;x
proclaim_yourself_guardian_of_faith_king_jerusalem;Take the title of Confessed of the Holy Sepulchre;Prendre le titre d'Avoué du Saint-Sépulcre;Take the title of Confessed of the Holy Sepulchre;;Take the title of Confessed of the Holy Sepulchre;;;;;;;;;x
proclaim_yourself_guardian_of_faith_king_jerusalem_desc;You are at the head of the lands that were the cradle of Christianity. By taking the title of Confessor of the Holy Sepulchre, you will become the symbol of the defence of these overseas possessions in the name of Christ.;Vous êtes à la tête des terres qui furent le berceau du christianisme. En prenant le titre d'Avoué du Saint Sépulcre, vous deviendrez le symbole de la défense de ces possessions outre-mer au nom du Christ;You are at the head of the lands that were the cradle of Christianity. By taking the title of Confessor of the Holy Sepulchre, you will become the symbol of the defence of these overseas possessions in the name of Christ.;;You are at the head of the lands that were the cradle of Christianity. By taking the title of Confessor of the Holy Sepulchre, you will become the symbol of the defence of these overseas possessions in the name of Christ.;;;;;;;;;x
proclaim_yourself_guardian_of_faith_king_israel;Proclaim the end of the Exodus;Proclamer la fin de l'Exode;Proclaim the end of the Exodus;;Proclaim the end of the Exodus;;;;;;;;;x
proclaim_yourself_guardian_of_faith_king_israel_desc;After centuries of flight, the chosen people resettled in Judea. It is necessary to ensure this consecration for the centuries to come, and a guardian of Jerusalem is needed for this.;Après des siècles de fuite, le peuple élu s'est réinstallé en Judée. Il est nécessaire d'assurer cette consécration pour les siècles à venir, et un gardien de Jérusalem est nécessaire pour cela.;After centuries of flight, the chosen people resettled in Judea. It is necessary to ensure this consecration for the centuries to come, and a guardian of Jerusalem is needed for this.;;After centuries of flight, the chosen people resettled in Judea. It is necessary to ensure this consecration for the centuries to come, and a guardian of Jerusalem is needed for this.;;;;;;;;;x
title_confessed_holy_sepulchre;Confessed of the Holy Sepulchre;Avoué du Saint-Sépulcre;Confessed of the Holy Sepulchre;;Confessed of the Holy Sepulchre;;;;;;;;;x
EVTDESCOLDORDER.0048;A noble lord, [Root.GetDynName], proved the value of his faith over the years as his kingdom was besieged on all sides by unfaithful peoples and adventurers. To help him defend his lands, he gathered several fighters into a military order to protect the [Root.Religion.GetName] followers. These warriors took their vows and swore to serve [Root.Religion.GetRandomGodName], in order to keep the lands of [Root.GetDynName] under His authority.;Un noble seigneur, [Root.GetDynName], a prouvé la valeur de sa foi au fil des années, alors que son royaume était assailli de tous côtés par des peuples et aventuriers infidèles. Pour l'aider dans la défense de ses terres, il a rassemblé plusieurs combattants dans un ordre militaire chargé de protéger les fidèles [Root.Religion.GetName]. Ces guerriers ont prononcé leurs voeux et ont juré de servir [Root.Religion.GetRandomGodName], afin de garder les terres de [Root.GetDynName] sous Son autorité.;A noble lord, [Root.GetDynName], proved the value of his faith over the years as his kingdom was besieged on all sides by unfaithful peoples and adventurers. To help him defend his lands, he gathered several fighters into a military order to protect the [Root.Religion.GetName] followers. These warriors took their vows and swore to serve [Root.Religion.GetRandomGodName], in order to keep the lands of [Root.GetDynName] under His authority.;;A noble lord, [Root.GetDynName], proved the value of his faith over the years as his kingdom was besieged on all sides by unfaithful peoples and adventurers. To help him defend his lands, he gathered several fighters into a military order to protect the [Root.Religion.GetName] followers. These warriors took their vows and swore to serve [Root.Religion.GetRandomGodName], in order to keep the lands of [Root.GetDynName] under His authority.;;;;;;;;;x
EVTTITLEOLDORDER.0049;A New Roman Legion has been founded;Une nouvelle Légion romaine a été fondée;A New Roman Legion has been founded;;A New Roman Legion has been founded;;;;;;;;;x
